Date : 2021-11-05 18:59:41
Directory : /Users/brunopaula/Desktop/fmb/website/fmb
Total : 509 files,  100797 codes, 1651 comments, 4578 blanks, all 107026 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |        460 |     52,324 |         60 |      1,123 |     53,507 |
| CSS              |         30 |     28,756 |      1,572 |      3,411 |     33,739 |
| JSON             |          3 |     17,665 |          4 |          2 |     17,671 |
| XML              |          4 |      1,554 |          0 |          1 |      1,555 |
| JavaScript React |         11 |        473 |         15 |         30 |        518 |
| Markdown         |          1 |         25 |          0 |         11 |         36 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        509 |    100,797 |      1,651 |      4,578 |    107,026 |
| pages                                                                                     |         42 |      6,234 |          7 |        118 |      6,359 |
| pages/api                                                                                 |          1 |          3 |          1 |          2 |          6 |
| public                                                                                    |         29 |     30,125 |      1,549 |      3,369 |     35,043 |
| public/css                                                                                |         15 |     23,921 |      1,390 |      2,815 |     28,126 |
| public/css/dropdown-effects                                                               |          6 |        606 |          0 |         43 |        649 |
| public/demo                                                                               |         11 |      4,651 |        159 |        553 |      5,363 |
| public/demo/css                                                                           |         10 |      4,650 |        159 |        553 |      5,362 |
| public/demo/css/dropdown-effects                                                          |          6 |        606 |          0 |         43 |        649 |
| public/demo/images                                                                        |          1 |          1 |          0 |          0 |          1 |
| public/fonts                                                                              |          1 |      1,548 |          0 |          1 |      1,549 |
| public/images                                                                             |          1 |          1 |          0 |          0 |          1 |
| public/images/logo                                                                        |          1 |          1 |          0 |          0 |          1 |
| src                                                                                       |        428 |     46,540 |         71 |      1,035 |     47,646 |
| src/components                                                                            |        417 |     45,365 |         43 |        978 |     46,386 |
| src/components/about                                                                      |         10 |      1,336 |          0 |         22 |      1,358 |
| src/components/app                                                                        |          2 |         64 |          3 |          5 |         72 |
| src/components/counterWidget                                                              |          2 |        101 |          0 |          8 |        109 |
| src/components/features                                                                   |         14 |      1,547 |          0 |         34 |      1,581 |
| src/components/hero                                                                       |          3 |         97 |          7 |          6 |        110 |
| src/components/howitworks                                                                 |          3 |         17 |          3 |          5 |         25 |
| src/components/olmo                                                                       |        373 |     40,816 |         30 |        867 |     41,713 |
| src/components/olmo/demo1                                                                 |         15 |      1,475 |          0 |         35 |      1,510 |
| src/components/olmo/demo10                                                                |         13 |      1,424 |          0 |         31 |      1,455 |
| src/components/olmo/demo11                                                                |         11 |      1,253 |          0 |         25 |      1,278 |
| src/components/olmo/demo12                                                                |         16 |      1,870 |          0 |         36 |      1,906 |
| src/components/olmo/demo13                                                                |         17 |      1,996 |          0 |         41 |      2,037 |
| src/components/olmo/demo14                                                                |         15 |      1,705 |         12 |         33 |      1,750 |
| src/components/olmo/demo15                                                                |         15 |      1,474 |          0 |         34 |      1,508 |
| src/components/olmo/demo16                                                                |         12 |      1,184 |         12 |         28 |      1,224 |
| src/components/olmo/demo17                                                                |         12 |      1,301 |          0 |         29 |      1,330 |
| src/components/olmo/demo18                                                                |         15 |      1,490 |          0 |         32 |      1,522 |
| src/components/olmo/demo19                                                                |         15 |      1,522 |          0 |         34 |      1,556 |
| src/components/olmo/demo2                                                                 |         15 |      1,690 |          6 |         38 |      1,734 |
| src/components/olmo/demo20                                                                |         15 |      1,568 |          0 |         33 |      1,601 |
| src/components/olmo/demo21                                                                |         16 |      1,742 |          0 |         37 |      1,779 |
| src/components/olmo/demo22                                                                |         11 |      1,278 |          0 |         27 |      1,305 |
| src/components/olmo/demo23                                                                |         13 |      1,581 |          0 |         31 |      1,612 |
| src/components/olmo/demo24                                                                |         16 |      2,052 |          0 |         39 |      2,091 |
| src/components/olmo/demo25                                                                |         15 |      1,713 |          0 |         34 |      1,747 |
| src/components/olmo/demo26                                                                |         15 |      1,541 |          0 |         36 |      1,577 |
| src/components/olmo/demo3                                                                 |         17 |      1,962 |          0 |         40 |      2,002 |
| src/components/olmo/demo4                                                                 |         15 |      1,676 |          0 |         34 |      1,710 |
| src/components/olmo/demo5                                                                 |         11 |        969 |          0 |         26 |        995 |
| src/components/olmo/demo6                                                                 |         14 |      1,785 |          0 |         36 |      1,821 |
| src/components/olmo/demo7                                                                 |         13 |      1,210 |          0 |         29 |      1,239 |
| src/components/olmo/demo8                                                                 |         15 |      1,629 |          0 |         33 |      1,662 |
| src/components/olmo/demo9                                                                 |         15 |      1,679 |          0 |         34 |      1,713 |
| src/context                                                                               |          1 |         47 |          0 |         10 |         57 |
| src/layout                                                                                |          8 |      1,033 |         28 |         31 |      1,092 |
| src/utils                                                                                 |          2 |         95 |          0 |         16 |        111 |
| styles                                                                                    |          4 |        183 |         20 |         41 |        244 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                  | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/brunopaula/Desktop/fmb/website/fmb/jsconfig.json                                   | JSON             |          5 |          4 |          0 |          9 |
| /Users/brunopaula/Desktop/fmb/website/fmb/package.json                                    | JSON             |         32 |          0 |          1 |         33 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/404.js                                    | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/_app.js                                   | JavaScript       |         37 |          1 |          3 |         41 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/about.js                                  | JavaScript       |         34 |          0 |          3 |         37 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/api/hello.js                              | JavaScript       |          3 |          1 |          2 |          6 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/blog-listing.js                           | JavaScript       |        404 |          0 |          3 |        407 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/contacts.js                               | JavaScript       |        190 |          0 |          3 |        193 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-1.js                                 | JavaScript       |         40 |          0 |          3 |         43 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-10.js                                | JavaScript       |         45 |          0 |          2 |         47 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-11.js                                | JavaScript       |         38 |          0 |          3 |         41 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-12.js                                | JavaScript       |         47 |          0 |          2 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-13.js                                | JavaScript       |         47 |          0 |          2 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-14.js                                | JavaScript       |         46 |          0 |          2 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-15.js                                | JavaScript       |         45 |          0 |          2 |         47 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-16.js                                | JavaScript       |         37 |          0 |          2 |         39 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-17.js                                | JavaScript       |         33 |          0 |          2 |         35 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-18.js                                | JavaScript       |         40 |          0 |          2 |         42 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-19.js                                | JavaScript       |         39 |          0 |          2 |         41 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-20.js                                | JavaScript       |         44 |          0 |          2 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-21.js                                | JavaScript       |         45 |          0 |          2 |         47 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-22.js                                | JavaScript       |         33 |          0 |          2 |         35 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-23.js                                | JavaScript       |         39 |          0 |          2 |         41 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-24.js                                | JavaScript       |         43 |          0 |          2 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-25.js                                | JavaScript       |         45 |          0 |          3 |         48 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-26.js                                | JavaScript       |         44 |          0 |          2 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-3.js                                 | JavaScript       |         44 |          0 |          3 |         47 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-4.js                                 | JavaScript       |         48 |          0 |          3 |         51 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-5.js                                 | JavaScript       |         35 |          0 |          3 |         38 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-6.js                                 | JavaScript       |         46 |          0 |          3 |         49 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-7.js                                 | JavaScript       |         48 |          0 |          3 |         51 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-8.js                                 | JavaScript       |         43 |          0 |          3 |         46 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/demo-9.js                                 | JavaScript       |         42 |          0 |          3 |         45 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/download.js                               | JavaScript       |        336 |          0 |          2 |        338 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/faqs.js                                   | JavaScript       |        312 |          0 |         10 |        322 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/faqs2.jsx                                 | JavaScript React |        142 |          5 |          4 |        151 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/features.js                               | JavaScript       |         41 |          0 |          3 |         44 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/index.jsx                                 | JavaScript React |         54 |          0 |          4 |         58 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/pricing.js                                | JavaScript       |      1,013 |          0 |          4 |      1,017 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/project-details.js                        | JavaScript       |        202 |          0 |          3 |        205 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/projects.js                               | JavaScript       |        368 |          0 |          3 |        371 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/single-post.js                            | JavaScript       |        803 |          0 |          3 |        806 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/team.js                                   | JavaScript       |        683 |          0 |          3 |        686 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pages/terms.js                                  | JavaScript       |        510 |          0 |          3 |        513 |
| /Users/brunopaula/Desktop/fmb/website/fmb/postcss.config.js                               | JavaScript       |          6 |          0 |          1 |          7 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/animate.css                          | CSS              |      1,264 |         15 |        315 |      1,594 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/bootstrap.min.css                    | CSS              |          2 |          5 |          0 |          7 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/fade-down.css       | CSS              |        112 |          0 |          8 |        120 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/fade-left.css       | CSS              |        108 |          0 |          7 |        115 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/fade-right.css      | CSS              |        108 |          0 |          7 |        115 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/fade-up.css         | CSS              |        108 |          0 |          7 |        115 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/rotate-x.css        | CSS              |         84 |          0 |          7 |         91 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/dropdown-effects/rotate-y.css        | CSS              |         86 |          0 |          7 |         93 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/flaticon.css                         | CSS              |        784 |          0 |          3 |        787 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/magnific-popup.css                   | CSS              |        307 |         12 |         36 |        355 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/menu.css                             | CSS              |      1,303 |         72 |        191 |      1,566 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/owl.carousel.min.css                 | CSS              |          1 |          5 |          0 |          6 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/owl.theme.default.min.css            | CSS              |          1 |          5 |          0 |          6 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/responsive.css                       | CSS              |     13,142 |        581 |      1,061 |     14,784 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/css/style.css                            | CSS              |      6,511 |        695 |      1,166 |      8,372 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/animate.css                     | CSS              |      1,264 |         15 |        315 |      1,594 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/bootstrap.min.css               | CSS              |          2 |          5 |          0 |          7 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/fade-down.css  | CSS              |        112 |          0 |          8 |        120 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/fade-left.css  | CSS              |        108 |          0 |          7 |        115 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/fade-right.css | CSS              |        108 |          0 |          7 |        115 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/fade-up.css    | CSS              |        108 |          0 |          7 |        115 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/rotate-x.css   | CSS              |         84 |          0 |          7 |         91 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/dropdown-effects/rotate-y.css   | CSS              |         86 |          0 |          7 |         93 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/menu.css                        | CSS              |      1,160 |         72 |        194 |      1,426 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/css/style.css                       | CSS              |      1,618 |         67 |          1 |      1,686 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/demo/images/FMB-Logo-white.svg           | XML              |          1 |          0 |          0 |          1 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/fonts/flaticon.svg                       | XML              |      1,548 |          0 |          1 |      1,549 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/images/logo/FMB-white.svg                | XML              |          1 |          0 |          0 |          1 |
| /Users/brunopaula/Desktop/fmb/website/fmb/public/vercel.svg                               | XML              |          4 |          0 |          0 |          4 |
| /Users/brunopaula/Desktop/fmb/website/fmb/pull_request_template.md                        | Markdown         |         25 |          0 |         11 |         36 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/Blogs.js                         | JavaScript       |        146 |          0 |          2 |        148 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/Counter.js                       | JavaScript       |         20 |          0 |          2 |         22 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/CustomersReviews.js              | JavaScript       |        448 |          0 |          3 |        451 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/Faq.js                           | JavaScript       |        151 |          0 |          2 |        153 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/Features.js                      | JavaScript       |         92 |          0 |          2 |         94 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/PowerfulFeatures.js              | JavaScript       |         81 |          0 |          2 |         83 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/Price.js                         | JavaScript       |        261 |          0 |          2 |        263 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/ShareFiles.js                    | JavaScript       |         52 |          0 |          2 |         54 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/VideoContent.js                  | JavaScript       |         75 |          0 |          5 |         80 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/VideoPopup.js                    | JavaScript       |         61 |          0 |          9 |         70 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/About2.js                  | JavaScript       |         54 |          0 |          2 |         56 |
| /Users/brunopaula/Desktop/fmb/website/fmb/src/components/about/Aboutbrands2.js            | JavaScript       |        146 |          0 |          2 |        148 |
